C6	AElig
22C5	sdot
2A66	sdote
21D8	seArr
A7	sect
3B	semi
2929	tosa
2736	sext
1D530	sfr
266F	sharp
449	shchcy
448	shcy
AD	shy
3C3	sigma
3C2	sigmaf
2A6A	simdot
2A9E	simg
2AA0	simgE
2A9D	siml
2A9F	simlE
2246	simne
2A24	simplus
2972	simrarr
2A33	smashp
29E4	smeparsl
2323	smile
2AAA	smt
2AAC	smte
44C	softcy
2F	sol
29C4	solb
233F	solbar
1D564	sopf
2660	spades
1D4C8	sscr
2606	star
2ABD	subdot
2AC3	subedot
2AC1	submult
2ACB	subnE
228A	subne
2ABF	subplus
2979	subrarr
2AC7	subsim
2AD5	subsub
2AD3	subsup
266A	sung
B9	sup1
B2	sup2
B3	sup3
2ABE	supdot
2AD8	supdsub
2AC4	supedot
27C9	suphsol
2AD7	suphsub
297B	suplarr
2AC2	supmult
2ACC	supnE
228B	supne
2AC0	supplus
2AC8	supsim
2AD4	supsub
2AD6	supsup
21D9	swArr
292A	swnwar
DF	szlig
2316	target
3C4	tau
165	tcaron
163	tcedil
442	tcy
2315	telrec
1D531	tfr
3B8	theta
3D1	thetav
FE	thorn
D7	times
2A31	timesbar
2A30	timesd
2336	topbot
2AF1	topcir
1D565	topf
2ADA	topfork
2034	tprime
25B5	utri
225C	trie
25EC	tridot
2A3A	triminus
2A39	triplus
29CD	trisb
2A3B	tritime
23E2	trpezium
1D4C9	tscr
446	tscy
45B	tshcy
167	tstrok
2963	uHar
FA	uacute
45E	ubrcy
16D	ubreve
FB	ucirc
443	ucy
171	udblac
297E	ufisht
1D532	ufr
F9	ugrave
2580	uhblk
231C	ulcorn
230F	ulcrop
25F8	ultri
16B	umacr
173	uogon
1D566	uopf
3C5	upsi
21C8	uuarr
231D	urcorn
230E	urcrop
16F	uring
25F9	urtri
1D4CA	uscr
22F0	utdot
169	utilde
FC	uuml
29A7	uwangle
2AE8	vBar
2AE9	vBarv
299C	vangrt
432	vcy
22BB	veebar
225A	veeeq
22EE	vellip
1D533	vfr
1D567	vopf
1D4CB	vscr
299A	vzigzag
175	wcirc
2A5F	wedbar
2259	wedgeq
2118	wp
1D534	wfr
